"Value","Reference","Footprint","JLCPCB Part #"
"0.1uF","C101,C103,C106,C107,C109","Capacitor_SMD:C_0402_1005Metric"," C1525"
"10uF","C102,C104,C108","Capacitor_SMD:C_0805_2012Metric","C1713"
"0.01uF","C105","Capacitor_SMD:C_0402_1005Metric","C1524"
"Q_NMOS_GSD","Q1,Q2","Package_TO_SOT_SMD:SOT-23"," C151421"
"10k","R1","Resistor_SMD:R_0805_2012Metric","C17590"
"10K","R101,R102,R103","Resistor_SMD:R_1206_3216Metric","C1489"
"10K","RV101,RV102,RV103,RV104","3224W-1-103E:POT_3224W","C81348"
"R-78E5.0-0.5","U103","R_78E5_0_0_5:R-78E-0.5_RCP","C18212367"
"SN74LVC1G08DBVR","U104,U109","SN74LVC1G08DBVR:DBV0005A_L","C7666"
"LM339DR","U105","LM339DR:D14","C7948"
"NE555DR","U106","NE555DR:D8"," C7593"
"SN74LVC3G14DCUR","U107","SN74LVC3G14DCUR:DCU8_TEX","C98856 "
"SN74AC32DR","U108","D14"," C352943"
