Designator,Mid X,Mid Y,Rotation,Layer
C101,20.95,-30.45,180.0,top
C102,28.55,-12.65,270.0,top
C103,28.4,-42.2,0.0,top
C104,39.0,-15.0,180.0,top
C105,40.5,-48.5,180.0,top
C106,49.0,-36.7,180.0,top
C107,55.47,-20.75,0.0,top
C108,44.5,-49.45,270.0,top
C109,59.0,-26.8,90.0,top
Q101,64.0,-28.1375,90.0,top
R101,48.0,-34.000001,0.0,top
R102,53.5,-41.500001,0.0,top
R103,44.5,-44.5,270.0,top
RV101,12.857597,-31.612746,180.0,top
RV102,12.8,-24.3072,180.0,top
RV103,39.75,-24.4445,180.0,top
RV104,39.77,-30.4478,180.0,top
U103,37.54,-11.0,0.0,top
U104,26.725001,-44.450001,0.0,top
U105,25.8611,-31.7,0.0,top
U106,38.0,-44.5,0.0,top
U107,47.9252,-38.75,0.0,top
U108,50.5362,-24.54,0.0,top
U109,57.725001,-29.590002,0.0,top
