Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C103, C106, C107, C109",0402,5,0.1uF, C1525
"C102, C104, C108",0805,3,10uF,C1713
C105,0402,1,0.01uF,C1524
Q101,SOT-523,1,Q_PMOS_GSD,C96676
"R101, R102, R103",1206,3,10K,C1489
"RV101, RV102, RV103, RV104",POT_3224W,4,10K,C81348
"U101, U102, U110",641964-1_TYC,3,641964-1,
U103,R-78E-0.5_RCP,1,R-78E5.0-0.5,C18212367
"U104, U109",DBV0005A_L,2,SN74LVC1G08DBVR,C7666
U105,D14,1,LM339DR,C7948
U106,D8,1,NE555DR, C7593
U107,DCU8_TEX,1,SN74LVC3G14DCUR,C98856 
U108,D14,1,SN74AC32DR, C352943
