Designator,Mid X,Mid Y,Rotation,Layer
C101,129.6,-115.3,180.0,top
C102,137.54,-102.250068,270.0,top
C103,138.0,-131.399999,0.0,top
C104,149.04,-105.750068,180.0,top
C105,149.5,-138.5,180.0,top
C106,159.5,-127.0,0.0,top
C107,165.5362,-110.54,0.0,top
C108,153.5,-139.45,270.0,top
C109,168.0,-116.8,90.0,top
Q101,173.0,-116.8,90.0,top
R101,157.0,-124.000001,0.0,top
R102,162.5,-131.500001,0.0,top
R103,153.5,-134.5,270.0,top
RV101,121.857597,-121.612746,180.0,top
RV102,121.8,-114.3072,180.0,top
RV103,149.0,-112.5522,180.0,top
RV104,148.77,-120.4478,180.0,top
U103,146.54,-101.0,0.0,top
U104,135.725001,-134.450001,0.0,top
U105,134.5362,-116.54,0.0,top
U106,147.0,-134.5,0.0,top
U107,156.9252,-128.75,0.0,top
U108,159.5362,-114.54,0.0,top
U109,166.725001,-119.590002,0.0,top
