Designator,Mid X,Mid Y,Rotation,Layer
C101,8.628,-44.4095,180.0,top
C102,14.678,-67.7595,0.0,top
C103,7.878,-67.7595,0.0,top
C104,21.643,-67.772,0.0,top
C105,8.628,-27.7095,180.0,top
C106,8.978,-11.2095,180.0,top
C107,25.828,-89.747,90.0,top
C108,17.353,-94.497,270.0,top
C109,26.383,-94.012,0.0,top
C110,4.9375,-85.02,270.0,top
C111,26.283,-92.752,180.0,top
C112,13.68,-84.2,180.0,top
C113,49.7,-93.4,180.0,top
C114,40.0,-86.5,0.0,top
C115,40.0,-84.5,0.0,top
C116,29.5,-86.3875,270.0,top
C117,17.627503,-79.600406,90.0,top
D101,28.55,-80.575,180.0,top
D102,28.55,-71.025,180.0,top
D103,10.818,3.8755,270.0,top
D104,28.9875,-2.5175,0.0,top
D105,28.8325,-24.4975,0.0,top
D106,28.9375,-12.8925,0.0,top
D107,49.5,-70.3,270.0,top
D108,44.9,-70.3,270.0,top
K101,39.655,3.455,0.0,top
K102,39.3725,-17.9975,0.0,top
K103,39.655,-6.795,0.0,top
PS101,35.5,-90.5,180.0,top
Q101,12.878,-41.6595,90.0,top
Q102,8.878,-47.1595,180.0,top
Q103,13.028,-24.9595,90.0,top
Q104,8.878,-30.4595,180.0,top
Q105,47.75,-80.5,180.0,top
Q106,52.8,-85.8,270.0,top
Q107,29.395,-68.8,180.0,top
Q108,29.325,-78.35,180.0,top
Q109,18.808,2.628,0.0,top
Q110,13.128,-8.4595,90.0,top
Q111,9.128,-13.9595,180.0,top
Q112,45.8,-63.3,270.0,top
Q113,52.845,-64.3,0.0,top
R101,18.378,-41.6595,90.0,top
R102,42.0075,-33.25,270.0,top
R103,42.0275,-40.35,270.0,top
R104,42.55,-47.725,180.0,top
R105,16.128,-41.6595,270.0,top
R106,29.5075,-31.25,270.0,top
R107,29.5075,-49.25,270.0,top
R108,9.628,-41.6595,270.0,top
R109,29.5075,-40.598869,270.0,top
R110,7.378,-41.6595,270.0,top
R111,12.128,-48.1595,90.0,top
R112,53.9,-81.9,270.0,top
R113,18.528,-24.9595,90.0,top
R114,16.128,-24.9595,270.0,top
R115,9.878,-24.9595,270.0,top
R116,25.625,-79.575,90.0,top
R117,25.7,-70.05,90.0,top
R118,10.818,0.0255,270.0,top
R119,7.628,-24.9595,270.0,top
R120,12.128,-31.4595,90.0,top
R121,50.8,-81.0,270.0,top
R122,18.828,-8.3595,90.0,top
R123,16.428,-8.3595,270.0,top
R124,10.128,-8.4595,270.0,top
R125,49.725,-76.95,90.0,top
R126,42.175,-76.95,90.0,top
R127,7.978,-8.4595,270.0,top
R128,44.0,-66.0,0.0,top
R129,12.378,-14.9595,90.0,top
R130,54.875,-59.85,270.0,top
R131,17.143,-92.022,90.0,top
R132,16.383,-89.787,180.0,top
R133,14.875,-86.55,270.0,top
R134,50.945,-64.3,90.0,top
SW101,18.378,-49.2095,90.0,top
SW102,18.378,-32.7095,90.0,top
SW103,18.628,-15.9595,90.0,top
U101,35.5025,-30.98,180.0,top
U102,35.5225,-40.355,180.0,top
U103,35.5025,-48.945,180.0,top
U104,19.893,-64.8345,90.0,top
U105,12.878,-64.7345,90.0,top
U106,6.0505,-64.7295,90.0,top
U107,11.378,-77.9595,180.0,top
U108,65.3,-77.965,0.0,top
U109,35.53,-69.57,0.0,top
U110,35.53,-79.07,0.0,top
U111,64.5875,3.925,0.0,top
U112,64.6125,-7.6,0.0,top
U113,64.60184,-18.092535,0.0,top
U114,65.2875,-54.16,0.0,top
U115,65.2875,-32.125,0.0,top
U116,65.2875,-42.7,0.0,top
U117,7.1375,-86.6,270.0,top
U118,21.633,-92.112,270.0,top
U119,12.0,-86.4,180.0,top
U120,63.35,-91.665,0.0,top
U121,35.53,-60.07,0.0,top
U122,65.2875,-65.7,0.0,top
