Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C105, C106",0603,3,10n,
"C102, C103, C104, C116, C117",0603,5,100n,
C107,0402,1,1u,
"C108, C110, C112",0402,3,0.1u,
C109,0402,1,.01u,
C111,0402,1,22u,
C113,CP_Elec_6.3x5.4,1,47u,
C114,0805,1,1u,
C115,0603,1,0.33u,
"D101, D102, D103",0805,3,RED,
"D104, D105, D106, D107, D108",D_SMA,5,D_Schottky,
"K101, K102, K103",Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical,3,Fujitsu_FTR-LYAA005x,
PS101,RI0505S,1,RI-1205S,
"Q101, Q102, Q103, Q104, Q110, Q111",SOT-23,6,Q_NPN_BEC,
"Q105, Q106, Q112",SOT-23,3,Q_NMOS_GSD,
"Q107, Q108, Q113",SOT-523,3,Q_PMOS_GSD,
Q109,TO-252-2,1,Q_NMOS_GDS,
"R101, R110, R113, R119, R122, R127",0805,6,100k,
"R102, R104, R105, R106, R107, R109, R114, R121, R123, R125, R126",0805,11,10k,
R103,0805,1,2.2k,
"R108, R111, R115, R120, R124, R129",0805,6,1k,
R112,0603,1,500R,
"R116, R117, R118",0805,3,270R,
"R128, R133, R134",0603,3,10k,
R130,0603,1,270R,
R131,0603,1,15k,
R132,0603,1,100k,
"SW101, SW102, SW103",SW_SPST_Omron_B3FS-100xP,3,SW_Omron_B3FS,
"U104, U105, U106, U117, U119",SOT-23-5,5,74AHC1G00,
U118,SOIC-8_3.9x4.9mm_P1.27mm,1,LM555xM,
