Designator,Mid X,Mid Y,Rotation,Layer
C101,19.25,-51.55,0.0,top
C102,13.2,-28.2,180.0,top
C103,20.0,-28.2,180.0,top
C104,6.235,-28.1875,180.0,top
C105,19.25,-68.25,0.0,top
C106,18.9,-84.75,0.0,top
C107,58.0,-88.4,180.0,top
C108,40.0,-86.5,0.0,top
C109,40.0,-84.5,0.0,top
C110,29.6,-85.5,270.0,top
C111,10.250497,-16.359094,270.0,top
D101,28.436535,-62.998869,90.0,top
D102,28.434561,-53.981854,90.0,top
D103,28.5,-44.75,90.0,top
D104,60.0,-6.05,0.0,top
D105,60.52,-17.25,0.0,top
D106,60.22,-28.75,0.0,top
K101,70.5725,-10.0475,0.0,top
K102,71.04,-21.25,0.0,top
K103,70.94,-32.75,0.0,top
PS101,35.5,-90.5,180.0,top
Q104,15.0,-54.3,270.0,top
Q106,19.0,-48.8,0.0,top
Q107,14.85,-71.0,270.0,top
Q108,19.0,-65.5,0.0,top
Q109,50.04,-11.25,0.0,top
Q110,50.065,-20.725,0.0,top
Q111,50.14,-30.75,0.0,top
Q112,14.75,-87.5,270.0,top
Q113,18.75,-82.0,0.0,top
R101,9.5,-54.3,270.0,top
R102,11.75,-54.3,90.0,top
R104,25.936535,-62.998869,90.0,top
R105,25.934561,-53.981854,90.0,top
R106,18.25,-54.3,90.0,top
R107,26.0,-44.75,90.0,top
R108,20.5,-54.3,90.0,top
R109,15.75,-47.8,270.0,top
R112,9.35,-71.0,270.0,top
R113,11.75,-71.0,90.0,top
R114,18.0,-71.0,90.0,top
R115,20.25,-71.0,90.0,top
R116,30.7,-7.35,180.0,top
R117,30.7,-16.95,180.0,top
R118,30.7,-26.75,180.0,top
R120,15.75,-64.5,270.0,top
R121,40.3,-7.35,0.0,top
R122,40.3,-16.95,0.0,top
R123,40.3,-26.75,0.0,top
R124,9.05,-87.6,270.0,top
R125,11.45,-87.6,90.0,top
R126,17.75,-87.5,90.0,top
R127,19.9,-87.5,90.0,top
R128,15.5,-81.0,270.0,top
R129,42.0,-46.75,270.0,top
R131,42.0,-62.75,270.0,top
R135,42.0,-53.75,90.0,top
SW101,9.5,-46.75,270.0,top
SW102,9.5,-63.25,270.0,top
SW103,9.25,-80.0,270.0,top
U101,61.075,-48.75,0.0,top
U102,7.985,-31.125,270.0,top
U103,15.0,-31.225,270.0,top
U104,21.8275,-31.23,270.0,top
U105,61.1875,-60.115,0.0,top
U106,16.5,-18.0,0.0,top
U107,35.505,-11.345,0.0,top
U108,35.505,-20.945,0.0,top
U109,35.505,-30.745,0.0,top
U110,94.5,-25.7125,90.0,top
U111,94.5,-50.6,90.0,top
U112,94.5,-76.0625,90.0,top
U113,61.183063,-77.818634,0.0,top
U114,35.495,-44.48,180.0,top
U115,35.495,-62.755,180.0,top
U116,35.495,-53.755,180.0,top
