"Value","Reference","Footprint","JLC#"
"1u","C101","Capacitor_SMD:C_0603_1608Metric","C59782"
"0.1u","C102","Capacitor_SMD:C_0402_1005Metric","C133086"
"0.01u","C103,C106","Capacitor_SMD:C_0402_1005Metric","C15195"
"22u","C104","Capacitor_SMD:C_0402_1005Metric","C105226 "
"0.33u","C105","Capacitor_SMD:C_0402_1005Metric","C107013 "
"Q_NMOS_GDS","Q101,Q102","Package_TO_SOT_THT:TO-220-3_Vertical","C2562"
"4.7k","R101,R102,R103,R104,R106,R108","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","C163339"
"15k","R105","Capacitor_SMD:C_0402_1005Metric","C25756"
"100k","R107,R110","Capacitor_SMD:C_0402_1005Metric","C102750"
"10k","R109","Capacitor_SMD:C_0402_1005Metric","C102759"
"LM555xM","U102","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C90760"
"74AHC1G02","U104","Package_TO_SOT_SMD:SOT-23-5","C7463"
"LM7805_TO220","U107","Package_TO_SOT_THT:TO-220-3_Vertical","C71107"
