Designator,Mid X,Mid Y,Rotation,Layer
C101,52.2,-29.8,0.0,top
C102,51.980992,-31.2,0.0,top
C103,47.54,-29.94086,270.0,top
C104,50.06,-19.19586,270.0,top
C105,36.1,-18.8,180.0,top
C106,42.0,-18.8,0.0,top
Q101,61.46,-36.3,0.0,top
Q102,61.5,-26.745,0.0,top
R101,14.0,-25.306,0.0,top
R102,14.0,-20.988,180.0,top
R103,14.0,-16.621,0.0,top
R104,14.0,-12.0,180.0,top
R105,49.585,-20.82586,0.0,top
R106,23.0,-12.0,180.0,top
R107,48.61,-19.22086,90.0,top
R108,23.0,-16.7,180.0,top
R109,36.6,-21.3,270.0,top
R110,40.0,-27.0,0.0,top
U102,49.435,-25.15086,180.0,top
U104,39.6,-22.7,180.0,top
U107,38.96,-16.611,0.0,top
