Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",0402,2,10uF,
"C103, C105, C107",0402,3,0.1u,
C104,0402,1,1u,
C106,0402,1,.01u,
C108,0402,1,22u,
"D101, D102",D_SOD-123F,2,D_TVS,
D103,0603,1,RED,
"Q101, Q102, Q103, Q105, Q106",SOT-23,5,Q_NMOS_GSD,
Q104,SOT-523,1,Q_PMOS_GSD,
"R101, R103, R105",0603,3,10k,
R102,0603,1,500R,
"R104, R106",0603,2,1k,
R107,0603,1,15k,
R108,0603,1,100k,
"U101, U102, U105",641964-1_TYC,3,641964-1,
U103,R-78E-0.5_RCP,1,R-78E5.0-0.5,
U104,SOT-353_SC-70-5,1,74AHC1G32,
U106,SOT-353_SC-70-5,1,74AHC1G08,
U107,SOIC-8_3.9x4.9mm_P1.27mm,1,LM555xM,
